luxembourgish,english,topics,register
Et deet wéi,It hurts,Health,neutral
Hëllef!,Help!,Emergencies,neutral
Rufft d'Police!,Call the police!,Emergencies,neutral
Rufft eng Ambulanz!,Call an ambulance!,Emergencies,neutral
Et ass en Noutfall,It is an emergency,Emergencies,neutral
Ech brauch Hëllef,I need help,Emergencies,neutral
Feier!,Fire!,Emergencies,neutral
Wou ass de nächste Spidol?,Where is the nearest hospital?,Emergencies,neutral
Wat maachs du gären?,What do you like to do?,Hobbies,informal
Wat maacht Dir gären?,What do you like to do?,Hobbies,formal
Ech spillen gär Fussball,I like to play football,Hobbies,neutral
Ech liesen gär Bicher,I like to read books,Hobbies,neutral
Ech kachen gär,I like to cook,Hobbies,neutral
Ech lauschteren gär Musek,I like to listen to music,Hobbies,neutral
Ech fueren gär Vëlo,I like to cycle,Hobbies,neutral
Ech ginn gär an de Kino,I like to go to the cinema,Hobbies,neutral
Ech maache gär Sport,I like to do sports,Hobbies,neutral
Ech reese gär,I like to travel,Hobbies,neutral
Hutt Dir Kanner?,Do you have children?,Family,formal
Hues du Geschwëster?,Do you have siblings?,Family,informal
Ech hunn zwee Kanner,I have two children,Family,neutral
Meng Famill wunnt zu Lëtzebuerg,My family lives in Luxembourg,Family,neutral
Mäi Brudder ass méi al wéi ech,My brother is older than me,Family,neutral
Meng Schwëster wunnt zu Paräis,My sister lives in Paris,Family,neutral
Ech sinn bestuet,I am married,Family,neutral
Ech hunn e Frënd,I have a boyfriend,Family,neutral
Ech hunn eng Frëndin,I have a girlfriend,Family,neutral
Meng Eltere sinn pensionéiert,My parents are retired,Family,neutral
Prost!,Cheers!,Social,neutral
Vill Gléck!,Good luck!,Social,neutral
Gutt Besserung!,Get well soon!,Social,neutral
Schéi Feierdeeg!,Happy holidays!,Social,neutral
E glécklecht neit Joer!,Happy New Year!,Social,neutral
Vill Gléck fir däi Gebuertsdag!,Happy birthday!,Social,informal
Vill Gléck fir äre Gebuertsdag!,Happy birthday!,Social,formal
Gratulatioun!,Congratulations!,Social,neutral
Et gefält mir,I like it,Opinions,neutral
Et gefält mir net,I don't like it,Opinions,neutral
Ech mengen ...,I think ...,Opinions,neutral
Dat ass eng gutt Iddi,That is a good idea,Opinions,neutral
Dat ass richteg,That is correct,Opinions,neutral
Dat ass falsch,That is wrong,Opinions,neutral
Ech sinn averstanen,I agree,Opinions,neutral
Ech sinn net averstanen,I disagree,Opinions,neutral
Wéi laang léiers du scho Lëtzebuergesch?,How long have you been learning Luxembourgish?,Education,informal
Ech léieren zënter engem Joer,I have been learning for one year,Education,neutral
Ech ginn an de Cours,I go to class,Education,neutral
D'Sprooch ass schwéier,The language is difficult,Education,neutral
Ech muss nach vill léieren,I still have a lot to learn,Education,neutral
Wou bass du op Vakanz gaang?,Where did you go on vacation?,Travel,informal
Ech war zu Spuenien,I was in Spain,Travel,neutral
D'Rees war wonnerschéin,The trip was beautiful,Travel,neutral
Mir hunn e Fliger geholl,We took a plane,Travel,neutral
Et war mäin éischte Besuch,It was my first visit,Travel,neutral
Op der Foto gesäit een ...,In the photo you can see ...,Picture Description,neutral
Am Hannergrond ass ...,In the background there is ...,Picture Description,neutral
Vir steet eng Persoun,In front there is a person,Picture Description,neutral
D'Persoun ass jonk,The person is young,Picture Description,neutral
Hie dréit eng Jackett,He is wearing a jacket,Picture Description,neutral
Si huet laang Hoer,She has long hair,Picture Description,neutral
Et gesäit aus wéi ...,It looks like ...,Picture Description,neutral
